userid,messageid,message,updated_time,nchar,q1,q2,q3,q4,q5,SWL_taken,SWL,gender,age,relationship_status,interested_in,network_size
fda1ee4f551a1016fd1bc84c80329033,10705048,"I finally tried Antico!! And it lived up to the hype and absolutely loved it! 



Traditional Neapolitan style pizza, and apparently the ingredients are actually flown in from Italy, as well as the pizza ovens themselves. The space is open and you can see the kitchen at work from the main dining area. There's a spot to grab toppings (think sea salt, garlic, parmesan and crushed red peppers) and olive oil for dipping in the kitchen area. 



We had the Margherita D.O.P and the Diavalo. The salami and peppers are a perfect combo on the Diavalo, and just the right amount of spicy. Fresh buffalo mozzarella and tomatoes on both, which obviously. I also grabbed a Limonata to complete the experience and think back to my recent afternoon Italian escapades. If you're into more traditional pizza, this is THE spot to go in the ATL.",10/14/2010,91,6,6,7,7,7,11/1/2010,6.6,1,49,1,NA,107
fda1ee4f551a1016fd1bc84c80329033,6182912,"Sooo... this place may not be for me. I visited this place because someone told me that he drove a few additional hours just to stop by this pizza place again. We ordered San Gennaro, which came with salsiccia, dolce piccante pepper, bufala, and cipolline. We all liked this one much better than the other one. The other pizza that we had was Diavola. Diavola came with spicy sopressata, pepperonata, and bufala. I think San Gennaro is worth trying; however, I personally won't recommend Diavola. It was also pretty spicy to me. Our pizza crust was way too burnt for both pizza - I doubt that's how they should be. This definitely made the pizza taste not as great... 



Antico seemed to be a popular hang out place - saw many people brought alcohol on their own. Overall, it was an okay experience for me and the pizza was priced on the expensive side. I am not sure I'd be coming again.",8/9/2010,124,6,6,7,7,7,11/1/2010,6.6,1,49,1,NA,107
fda1ee4f551a1016fd1bc84c80329033,8821003,"Authentic Italian pizza. Limited choices. It's a a local favorite. Very fast service. Good for college students or take out. You can see the the cooks making the pizza, the kitchen is right by the seating area. 



The pizza is quite big so be cautious of how many pizzas you are ordering .",7/28/2010,140,6,6,7,7,7,11/1/2010,6.6,1,49,1,NA,107
fbbd20990e3aeb4963177767f7955e5f,3429828,"Quick Pizza master class - there are several types of pizza (excluding deep crust): 

Traditional Italian - thin crust baked in stone oven at around 800deg for ~1.5min (i.e. Antico) 

Italian fusion - slightly thicker, breadier crust than tradition and combines American and Italian (i.e. Fellinis) 

American - generally thick-ish crust, cheezy, loaded with toppings (i.e. gameday Papa Johns). 

*there are other pizza types but this is a rough categorization without getting too granular (new york, chicago, etc.) 



Antico's makes some of the best traditional Italian pizza's you'll get in Atlanta with flavorful toppings served fresh and hot from their wood fired ovens. The atmosphere is chill and don't forget to get some toppings (peppers, parm, dipping oil etc.).",2/6/2010,193,7,6,6,6,5,7/23/2010,6,1,23,1,NA,146
fbbd20990e3aeb4963177767f7955e5f,2575733,"The atmosphere of this restaurant alone deserves five stars. I really felt like I was back in Italy when we ate at the large communal tables near the pizza ovens, watching them stretch out the dough. Even the menu was in euros and drinks were all bottled. 



The pizza was super good, perfect amount of crispiness. They use big hunks of mozzarella. The pizza with roasted red pepper was amazing, I could eat it all day. 

I also loved how they have a little bar of ""toppings"" red peppers, garlic, spicy sauce, parm cheese, and olive oil. This place is awesome!!",2/4/2010,389,7,6,6,6,5,7/23/2010,6,1,23,1,NA,146
fbbd20990e3aeb4963177767f7955e5f,2367058,"what.an .experience ugh! I def don't understand the hype about this place. Where do I begin? 



When we first arrived we went to the wrong building...twice. How does one do that? From a lack of direction, confusing signs and about 4-5 different restaurants under one business owner. We brought two bottles of wine and awkwardly assumed that we were at the correct spot and sat down in the outdoor area. The owner came over and told us that the byob section was in the other building so we couldn't sit there. He was the best part about the experience. He was so nice and gave us great suggestions and apologized profusely for the inconvenience. 



When we went to the correct spot I was instantly turned off. I expected it to be a little more formal I guess? Not super formal but just like a normal place where you can sit at your own table and sip your wine and eat your food in peace, ya know? Absolutely not! They have family style tables and you have to sit next to complete strangers. The manager gave us a great suggestion to find your table before you order so that you can find a table and won't have to stand and eat your pizza, thank God he told us that. It was kinda busy and we had to wait for a table, and then track down a bus boy to wipe it after just standing in front of someone's else's empty plates and napkins for 5 minutes. 



Usually I wouldn't mind the family style tables too much but the couple next to us were soooo awkward. They were way too friendly and talked our ear off. When me and my bestie tried to toast, they were like, ""yes! Let's toast"" and shoved their dirty cups next to our cups. To make matters worse, they ended up getting into an argument and asked for our advice about their argument. We felt so uncomfortable and tried to eat our food as soon as possible because they continued to argue the whole time. 



When our food came it looked delicious. I ordered the Bianca and what a mistake that was. It tasted like plain bread and had 0 flavor, at all, none, nata, zilch. Get the point? My friend ordered the Lasagna pizza and she thought it was ""cool"", def nothing to rant and rave about. Don't order the Bianca! I rather go to Dominos! It was that bad. Also, there were so many little nats flying around or pizza. My friend had one nat into her last cup of wine. 



I just won't come here again. It's just not my type of place, but to each is own.",1/24/2010,27,7,6,6,6,5,7/23/2010,6,1,23,1,NA,146
f90f46bba36205bfa45a4f1bca68711b,15263290,"I love Antico pizza. The crust is delightfully thin and crispy. The cheese is not overwhelming and the toppings are although limited, very well paired. I can easily eat half a large pizza in one seating. My current favorite is the san gennaro. I love how the sweet peppers balance the salty sausage. Best part about this location is the BYOB. Make sure to come snag a table early if you have a group. This place gets packed fast (although they do move the line fast too)! Make sure to go next door and grab a cannoli at their cafe! 



Parking: Easy. In the back and side parking.",2/19/2010,33,5,6,6,5,5,6/4/2011,5.4,0,20,1,2,382
f90f46bba36205bfa45a4f1bca68711b,15140351,"Impressed. Great thin, oven-baked pizza at a great venue. The place is BYOB and you order at the counter. Feel free to drink wine if the line is long, they provide plastic cups. 



After you order, half the kitchen is reserved for guest seating. Pick a table. The pizza came out in minutes shockingly. We ordered 4 pizzas for 7 people and it was plenty. $20 ish dollars apiece. 



The diavolo was my fav. I liked the red peppers they had. As we were eating, the workers were throwing pizzas around and baking them in one of three ovens. 



I wish there was a place like this in San Francisco!",2/3/2010,104,5,6,6,5,5,6/4/2011,5.4,0,20,1,2,382
f65d34a39daa4dd5d366a8bf5f8cad7d,15048393,"Plain and simple, Antico Pizza dishes up what must be some of the best pizza in Atlanta, and it was very much on par with some of my favorite spots in the country. 



Star 1: How were the service and atmosphere? 



If you've been to DeSano Pizza at any of their locations nationwide Antico will look familiar, with its counter ordering and backroom that offers a clear view of the cooks and ovens. It's a great setup, and the service was fast and friendly. Star Granted. 



Star 2: How were the portions relative to the cost? 



For $22.00, my coworker and I got a full Diavola pizza, which turned out to be more than enough to cover a dinner for two. That obviously maths out to $11.00 per person, which was more than reasonable for a great pizza dinner. Star Granted. 



Stars 3 and 4: How was the food? 



This was truly excellent pizza, with thick and flavorful crust, cheese than maintained its shape bite after bite, and a great combination of toppings in the form of pepperonis and flavorful spicy peppers. Game. Set. Match. Dual Stars Granted. 



Star 5: Would you eat here every day if you could? 



This is a close one, but I ever so slightly prefer DeSano Pizza to Antico, and Antico falls just short of my top spot Tony's in San Francisco. No Star Granted.",1/21/2010,322,4,4,4,5,7,4/4/2010,4.8,1,37,2,NA,54
f5c58d3148e8993525dc589d15644cad,17863254,"I consider myself a pizza connoisseur. Like, I make it once a week. I'm really into it. I love ALL pizza, as everyone does, but of course there are those special pies that you always lean back on as a reference for ""great pizza"". Antico did that. 



The verdura pizza is what called our names. It came out fairly fast, with all kinds of great add ons. I can't talk about the food until I talk about the atmosphere though. 



You walk in and order at a counter. It's hot and loud and somehow extremely endearing. There are about 8-10 pizza options, all Neapolitan style. This place is very cafeteria style and is BYOB, so grab your wine. Glasses are on the table. 



Alright back to food. The pizza comes out on a big baking sheet, fresh out of the over. The Verdura comes with broccoli rabe for a nice green, shrooms for a nice meaty flavor, cherry tomatoes for that umami pop we all love, and buffalo moz to hold it all together. 



My gosh y'all this was the best pizza I've ever had. It was so familiar yet so complex tasting, unlike any pizza I've ever had. For the price, it's unbeatable. Please come and eat til you can't eat any longer.",5/21/2010,118,5,4,5,5,2,7/28/2010,4.2,1,17,1,1,164
f5c58d3148e8993525dc589d15644cad,21233298,"we specifically came here to try their pizza that everybody is talking about, but left kind a disappointed. Pizza was average, nothing special, had that burned taste, we wanted to try margarita pizza with sausage or prosciutto, but they said that they can not mix two flavors, we have to buy two pizzas... I mean how hard it is to sprinkle prosciutto on one side of pizza.. girls who were working over there was very rude, was talking with each other in front of customers, we felt so welcomed. It's sad that we expected so much but left disappointed. Sorry..",3/14/2010,221,5,4,5,5,2,7/28/2010,4.2,1,17,1,1,164
f5c58d3148e8993525dc589d15644cad,15025614,"Holy yum. Wow, wow, wow. No other pizza tastes the same after eating here. 



We came on a Saturday around 11:30. They do not open until noon, so we had to wait in line outside. They brought out a sample pizza for all of us in line to have, which I greatly appreciated. It was so delicious it made me want to beat down the door even more. 



Once we were inside we quickly found a seat because there is little seating inside. It is great to sit at communal tables with loud, instrumental music blaring while the employees are tossing pizza dough into the air. 



We had the mushroom truffle pizza that was on special. It was close to $30, but holy hell it was worth every penny. You definitely got the truffle taste. Everything was so fresh. I often feel skimped on the truffle, not this time. 



I also love the fresh Parmesan, peppers, and other ingredients they leave out for you to dress every pizza bite with. 



Probably the best pizza I've ever had.",1/20/2010,314,5,4,5,5,2,7/28/2010,4.2,1,17,1,1,164
f56093742a038c70eceec53ece367ce2,9881017,"This. Is. The. Best. Pizza. Ever. Period. 



Not much more to say. I have eaten pizza all over the US and Europe, Italy included. Antico's is just that great. You order at the counter and proceed to find a seat. They have two sides to their menu, Rosso or Bianche pizza (think red / white). The pizzas are designed to be ordered as is, no substitutions, and frankly you wouldn't want to. The San Gennaro is probably the favorite. The ingredients translate to sausage, sweet peppers, cheese, and onions. Also tried and true deliciousness: lasagna pizza and Margherita with pepperoni. Flavors are just right. 



Now besides the amazing cheeses and fresh ingredients, the dough is the star. The pizzas are cooked in their pizza oven giving the dough the perfect doughy, soft, charred and textured consistency- its heaven on earth. I literally eat at least 4 slices. 



Now seating is community style and basically in the kitchen. Gives the place a totally different feel. You can grab fresh garlic, cheese, red pepper flakes or oil and bring to your table. Also, you can BYOB (awesowe!) 



This place is a must try for everyone. Just go!",8/23/2010,69,7,6,6,6,7,9/25/2010,6.4,1,22,1,NA,482
f56093742a038c70eceec53ece367ce2,8927211,"Absolutely amazing!! I love this place so much, the pizza is just phenomenal. 



They have several pre-made choices on the menu, but you can also create your own pizza. I highly recommend the San Gennaro or the Diavola (I probably butchered the spelling but it's close enough! xD). You are looking at around 23-24$ for a pizza after taxes, depending on what you get, so yes, I must admit it's pretty pricey. Butttt it is so worth it!! Just go when you feel like treating yourself and with like 2 friends. One pizza can definitely feed 3 people max. 

They have a really good bar full of parmesan cheese, red pepper flakes, fresh garlic, red pepper chili paste, marinated peppers, and a salt and pepper mixture. The marinated red peppers are THE BOMB, I could just eat those by themselves. 



Drinks must be bought, they have water bottles, selection of sparkling waters, wines and beers. But did I mention this place is BYOB?! Grab your favorite beer and/or wine and bring it with you! There's plastic cups on the tables for people to use. so amazing, I brought a bottle of wine and my boyfriend brought his beer. :D 



I love the communal seating and the home-y feel of this place. Just really basic decor and wood seating. It has a nice ambiance! 



This place is quite busy on the weekends and holidays, so i'd recommend going to lunch on weekdays, or just arrive early. Honestly the wait isn't too bad, and the pizza comes out so fast since they take no time to cook in those super hot, legit wood burning ovens. 



Please visit this place at least once, you won't regret it!",7/22/2010,405,7,6,6,6,7,9/25/2010,6.4,1,22,1,NA,482
f56093742a038c70eceec53ece367ce2,7821572,"Antico is hands down, the best pizza place in Atlanta. It's my family's favorite pizza restaurant to eat at and we come here every time my brother and I are back in town. I've had the Margherita and the Sophia and they are both delicious. I judge a pizza place by their Margherita because it's a simple pizza that should be done right and Antico did a great job with the Margherita. The Sophia, which is bufala, cipollini onions, roasted mushrooms, and white truffle oil, has a ton of flavor and is a great pizza for vegetarians. 



I've also been to the Alpharetta location and I thought it was just as good. The Avalon is a fun area to walk around, so I think it's a great location for the restaurant.",7/18/2010,131,7,6,6,6,7,9/25/2010,6.4,1,22,1,NA,482
f56093742a038c70eceec53ece367ce2,4193332,"Best pizza I have ever had, period. We got the lasagna pizza, the spinach/brocolli pizza, and a pepperoni with peppers pizza (I don't remember the actual unique names they give them). They all were absolutely delicious, the pizza is of true Italian origin. Light sauce, cheese is spread out not just thrown all over the pizza, same goes for the other toppings. Crust was amazing, it's baked in a wood oven so the slight smoked charcoal taste on the crust was absolutely amazing. 



The atmosphere is great, it definitely has the small pizzeria feel too it. It can get busy and you might end up without a place to sit, the place is small so it can get loud when it's busy. 



Price, this is where I take off one star. It is expensive!!! The pizza is really good like I said, but does $24+ a pizza warrant that, i'm not so sure it does. The ingredients are fresh, but I don't think they throw $20+ worth of it on the pizza. 



Would I go back? Yes, but only if it's a work outing and the company is paying, cause if you get two pizzas you're looking at $50! Ah! The pizza is absolutely delicious though, if you haven't been, go and splurge at least one here.",7/18/2010,214,7,6,6,6,7,9/25/2010,6.4,1,22,1,NA,482
f56093742a038c70eceec53ece367ce2,7873521,"Best pizza I've ever had. Been around the world, across Italy, from Rome to Naples, Amalfi, Capri San Marino, Pisa, Cinque Terre, Verona, Milan, Venice and more; and never and NOWHERE have we had pizza as good as Antico's. The quality of the ingredients, the dough, the toppings, the ambiance. I don't even really like pizza and I can't get enough of Antico. Free parking if you can find a spot. The line may be long, but it moves quickly. Service is fast. They have beer and wine. Eat your pizza anywhere-- inside, outside by Amalfi bar and gelato place across the street, on a stoop or in your car. 

--- you're welcome!",6/26/2010,230,7,6,6,6,7,9/25/2010,6.4,1,22,1,NA,482
f56093742a038c70eceec53ece367ce2,5370378,"Antico Pizza is the most authentic pizza i've ever had. Food is ordered at the counter and then you find your own seat at communal tables. Either you can sit in a smaller dining room or in the large dining area. The large dining area is in the kitchen area where you can see the chefs and cooks making the pizza right in front of you. They have air conditioners but it still gets pretty hot from the ovens. 



Pizzas come out really fast, like 5 to 10 minutes fast. Apparently, the ovens are so hot they flash cook the pies. The crusts are extremely crispy",4/8/2010,304,7,6,6,6,7,9/25/2010,6.4,1,22,1,NA,482
f56093742a038c70eceec53ece367ce2,2305695,"The reviews are true. The pizza is good and the dining area if u wanna call it that is somewhat odd. Community wood tables and stools... bar and table stools....so if crowded u will be eating with some of folks u don't know! 

The pizza is $20 bucks for the Margherita and $4 extra to add pepperoni. It's made in about 5min. I went on a Monday about 5pm and it wasn't crowded at all. 

Only had one problem, when I walked in the door I was completely ignored, the cashier lady was texting on her celly. I actually had to say something to her a couple of times to get her attention so I can place my order. All in all that wasn't a big deal and once I start eating I was ok! 



Parking is behind the building. 

This was my second time coming last time they ran out of dough on a weekend visit. 



Worth a try!",1/17/2010,318,7,6,6,6,7,9/25/2010,6.4,1,22,1,NA,482
f56093742a038c70eceec53ece367ce2,2550047,"Their website claims it to be the BEST EFFING PIZZA IN THE STATES. when i read that, i instantly thought, ""that's a helluva bold claim."" But they showed me what's up! By far the best pizza i've had outside of Italy. Doesn't matter which toppings, it's all in the dough. I'm from Chicago, but i would fly back to Atlanta just for this. If i had to pick one thing to eat for the rest of my life, it would be pizza. This, hands down, would be my choice in pizza. 



Now, if only, there's an Antico in Chicago. *hint hint* i hear Chicago is known for great food, so you'd fit right in. 



Brownie points for quick and efficient service! 



Warning: no bathroom? I think it was outside? Nothing like wondering around the entire restaurant in greasy pizza hands trying to find the toilet. Thought that was weird for a decent sized establishment. There is a sink to wash your hands though!",1/17/2010,318,7,6,6,6,7,9/25/2010,6.4,1,22,1,NA,482
f4cb7b11e2aab28f3c740f096db14c79,10605320,"This place is unlike any restaurant I've ever seen. You order once you walk in from one of their specialty pizzas. All pizzas come in one size and all the ingredients are flown in fresh and dough made fresh daily. The ovens heat up to 1200 degrees, so the pizzas cook in just around 90 seconds. You can bring your own alcohol and you can even eat in the kitchen! There are no plates or silverware, but they have plenty of napkins and little condiments everywhere. If you can, try the peppers in olive oil. You will love it! 



The pizza is some of the best you can get in midtown Atlanta, and it is a great place to go with a group of friends and enjoy a nice time!",11/6/2010,146,4,5,3,3,2,2/3/2011,3.4,0,18,1,NA,104
f25ab42f57f5c54b55371a3220dacbd7,6432374,The pizza is delicious best pizza in Atlanta. The service is super fast despite it being a little bit busy. It is four stars because one lady works there everyday and is rude. They also only have one bathroom.,4/26/2010,343,7,6,7,7,1,7/11/2010,5.6,1,29,3,NA,431
f25ab42f57f5c54b55371a3220dacbd7,4942820,I can't believe I didn't rate this place until now. Best pizza in Atlanta. That's all there is too it. BYOB!! Social European style table environment. That's it. Nothing negative; unless they really do make the dough from crack.,4/11/2010,78,7,6,7,7,1,7/11/2010,5.6,1,29,3,NA,431
f25ab42f57f5c54b55371a3220dacbd7,2883548,"Good pie in Napolitano style, excellent crust flavor, interesting topping selections",2/7/2010,125,7,6,7,7,1,7/11/2010,5.6,1,29,3,NA,431
f23fbfc03de736258e2054c548da3084,6316612,"On a road trip, based on reviews, stopped for lunch. It was an awesome authentic Italian experience all the way around.",7/15/2010,255,2,3,2,1,1,7/8/2011,1.8,1,18,1,NA,173
f23fbfc03de736258e2054c548da3084,2953996,"This place was suggested to us by locals in Atlanta (and were from Chicago so we have some high standards in pizza). 

We were with a big group so we just went ahead and ordered 4 pizzas- while we were waiting for the pizzas we were able to sit our large party at the seat your self tables. 

The pizza was fresh and amazing- and the condiments are also amazing. 



Defiantly will be revisiting the next time in town!",2/7/2010,84,2,3,2,1,1,7/8/2011,1.8,1,18,1,NA,173
efa4aa1bff1027fcc789201b455fa791,12393052,"Finding good pizza spots are hard. Finding good pizza spots that dish out your order in under five minutes are nearly impossible. Yet, Antico Pizza delivers. First you order whichever pizza you desire at the counter. Next, pick a seat. Then your pizza literally makes its way to your table. Be sure to grab peppers, cheese, olive oil, and garlic towards where they make the pizza too. 



We ordered the truffle mushroom pizza for $27, which is only being offered for a limited time. It was really delicious. The flavor and aroma of truffle and mushrooms was almost too much to handle! Every bite was so good. You just want to keep eating more. Before you know it, the whole pizza has been devoured! 



Seriously, if you want lightning fast pizza with quality ingredients, this place will surely amaze. My only criticism is that the bottom of the pizza is too flimsy/soggy. I wish it were thicker and stronger. Another thing I would like to note is that the walkway leading towards the cashier often gets too crowded. Having chairs and tables here must some type of fire hazard.",12/13/2010,32,2,2,5,2,2,2/12/2012,2.6,1,17,2,NA,376
