userid,messageid,message,updated_time,nchar,q1,q2,q3,q4,q5,SWL_taken,SWL,gender,age,relationship_status,interested_in,network_size
00513d0702a118eebecf0691839447b4,14194282,"I finally tried Antico!! And it lived up to the hype and absolutely loved it! 



Traditional Neapolitan style pizza, and apparently the ingredients are actually flown in from Italy, as well as the pizza ovens themselves. The space is open and you can see the kitchen at work from the main dining area. There's a spot to grab toppings (think sea salt, garlic, parmesan and crushed red peppers) and olive oil for dipping in the kitchen area. 



We had the Margherita D.O.P and the Diavalo. The salami and peppers are a perfect combo on the Diavalo, and just the right amount of spicy. Fresh buffalo mozzarella and tomatoes on both, which obviously. I also grabbed a Limonata to complete the experience and think back to my recent afternoon Italian escapades. If you're into more traditional pizza, this is THE spot to go in the ATL.",9/28/2009 4:53,0,1,2,3,2,6,9/18/2009,5,0,21,1,2,25
00513d0702a118eebecf0691839447b4,16080820,"Sooo... this place may not be for me. I visited this place because someone told me that he drove a few additional hours just to stop by this pizza place again. We ordered San Gennaro, which came with salsiccia, dolce piccante pepper, bufala, and cipolline. We all liked this one much better than the other one. The other pizza that we had was Diavola. Diavola came with spicy sopressata, pepperonata, and bufala. I think San Gennaro is worth trying; however, I personally won't recommend Diavola. It was also pretty spicy to me. Our pizza crust was way too burnt for both pizza - I doubt that's how they should be. This definitely made the pizza taste not as great... 



Antico seemed to be a popular hang out place - saw many people brought alcohol on their own. Overall, it was an okay experience for me and the pizza was priced on the expensive side. I am not sure I'd be coming again.",3/3/2011 1:33,0,1,2,3,2,6,9/18/2009,5,0,21,1,2,25
013e43ae20d2d1dc599f1e7f7fd9f768,4423285,"Antico is hands down, the best pizza place in Atlanta. It's my family's favorite pizza restaurant to eat at and we come here every time my brother and I are back in town. I've had the Margherita and the Sophia and they are both delicious. I judge a pizza place by their Margherita because it's a simple pizza that should be done right and Antico did a great job with the Margherita. The Sophia, which is bufala, cipollini onions, roasted mushrooms, and white truffle oil, has a ton of flavor and is a great pizza for vegetarians. 



I've also been to the Alpharetta location and I thought it was just as good. The Avalon is a fun area to walk around, so I think it's a great location for the restaurant.",6/30/2010 17:42,0,1,2,3,4,3,6/13/2010,5,0,30,1,2,86
013e43ae20d2d1dc599f1e7f7fd9f768,2293607,"Best pizza I have ever had, period. We got the lasagna pizza, the spinach/brocolli pizza, and a pepperoni with peppers pizza (I don't remember the actual unique names they give them). They all were absolutely delicious, the pizza is of true Italian origin. Light sauce, cheese is spread out not just thrown all over the pizza, same goes for the other toppings. Crust was amazing, it's baked in a wood oven so the slight smoked charcoal taste on the crust was absolutely amazing. 



The atmosphere is great, it definitely has the small pizzeria feel too it. It can get busy and you might end up without a place to sit, the place is small so it can get loud when it's busy. 



Price, this is where I take off one star. It is expensive!!! The pizza is really good like I said, but does $24+ a pizza warrant that, i'm not so sure it does. The ingredients are fresh, but I don't think they throw $20+ worth of it on the pizza. 



Would I go back? Yes, but only if it's a work outing and the company is paying, cause if you get two pizzas you're looking at $50! Ah! The pizza is absolutely delicious though, if you haven't been, go and splurge at least one here.",1/18/2010 16:44,0,1,2,3,4,3,6/13/2010,5,0,30,1,2,86
013e43ae20d2d1dc599f1e7f7fd9f768,11495501,"Best pizza I've ever had. Been around the world, across Italy, from Rome to Naples, Amalfi, Capri San Marino, Pisa, Cinque Terre, Verona, Milan, Venice and more; and never and NOWHERE have we had pizza as good as Antico's. The quality of the ingredients, the dough, the toppings, the ambiance. I don't even really like pizza and I can't get enough of Antico. Free parking if you can find a spot. The line may be long, but it moves quickly. Service is fast. They have beer and wine. Eat your pizza anywhere-- inside, outside by Amalfi bar and gelato place across the street, on a stoop or in your car. 

--- you're welcome!",10/5/2010 12:49,0,1,2,3,4,3,6/13/2010,5,0,30,1,2,86
019ac5d57f3fd308444a0647c95fdab0,7504098,"Atmosphere: 4 stars = picnic table seating with full open kitchen views, BYOB and parking 



Service: 1 star = on a Monday around 4ish two cashiers are more interested in complaining about not being able to wear shorts to work than helping me translate the menu 



Food: 1 stars = Where do I begin? 

1- you cant pick out your toppings and are basically at the mercy of the menu...cant even split toppings 

2- pizza was bland and crust was burned 

3- mediocre at best 



Pros: veggies were fresh and pizza too hot 

Overall it was nice to try a new place but it wasn't worth $20 so I wont be back again",8/19/2010 21:31,0,1,2,3,5,3,11/7/2010,5,1,26,1,NA,144
019ac5d57f3fd308444a0647c95fdab0,487880,"The first time I've dined at Antico was back in 2009 as a college student. I remember feeling a tinge of jealousy that Georgia Tech kids get to party with authentic Neapolitan pizza, while the rest of us are stuck with your bland, run-of-the-mill delivery pizza. 



Many years have gone by, and I still remember this place fondly. Upon my most recent visit, I learned that 1) most of their pizza costs over $20, 2) they have expanded their dining area by opening up the kitchen, and 3) they don't have dry oregano sprigs and peperonata on the table for you to garnish your pizza with anymore. Simultaneously, I was ecstatic to see that Antico is still thriving and that their pizza is still excellent. The quality of the ingredients is superb: the sauce made using the San Marzano tomatoes is pleasantly acidic, the crust is perfectly charred, and the bufala mozzarella is creamy. If this doesn't make you salivate, I don't know what will. 



Although they offer various different pizzas, I only order Margheriat D.O.P. As the famous saying goes, less is more. If you can handle spice, I would recommend Diavola; the addition of soppressata and peperonata packs a punch and flavor. 



In my experience, it is absolutely the best to eat their pizza right out of the oven, piping hot. So I would recommend dining in, rather than doing a take-out. No matter the day, they are extremely busy. However, with the glorious Acunto Napoli brick ovens sitting in their kitchen, they are capable of popping out their pizza really quickly - so the wait won't be bad at all.",8/1/2009 23:24,0,1,2,3,5,3,11/7/2010,5,1,26,1,NA,144
009d96a823b6f6c085c092fb177491f6,21152288,"Impressed. Great thin, oven-baked pizza at a great venue. The place is BYOB and you order at the counter. Feel free to drink wine if the line is long, they provide plastic cups.



After you order, half the kitchen is reserved for guest seating. Pick a table. The pizza came out in minutes shockingly. We ordered 4 pizzas for 7 people and it was plenty. $20 ish dollars apiece.



The diavolo was my fav. I liked the red peppers they had. As we were eating, the workers were throwing pizzas around and baking them in one of three ovens.



I wish there was a place like this in San Francisco!",2/18/2011 12:17,0,1,2,3,3,1,10/14/2011,5,1,25,2,NA,181
009d96a823b6f6c085c092fb177491f6,21202102,"Plain and simple, Antico Pizza dishes up what must be some of the best pizza in Atlanta, and it was very much on par with some of my favorite spots in the country.



Star 1: How were the service and atmosphere?



If you've been to DeSano Pizza at any of their locations nationwide Antico will look familiar, with its counter ordering and backroom that offers a clear view of the cooks and ovens. It's a great setup, and the service was fast and friendly. Star Granted.



Star 2: How were the portions relative to the cost?



For $22.00, my coworker and I got a full Diavola pizza, which turned out to be more than enough to cover a dinner for two. That obviously maths out to $11.00 per person, which was more than reasonable for a great pizza dinner. Star Granted.



Stars 3 and 4: How was the food?



This was truly excellent pizza, with thick and flavorful crust, cheese than maintained its shape bite after bite, and a great combination of toppings in the form of pepperonis and flavorful spicy peppers. Game. Set. Match. Dual Stars Granted.



Star 5: Would you eat here every day if you could?



This is a close one, but I ever so slightly prefer DeSano Pizza to Antico, and Antico falls just short of my top spot Tony's in San Francisco. No Star Granted.",3/12/2011 22:39,0,1,2,3,3,1,10/14/2011,5,1,25,2,NA,181
009d96a823b6f6c085c092fb177491f6,17874390,"I consider myself a pizza connoisseur. Like, I make it once a week. I'm really into it. I love ALL pizza, as everyone does, but of course there are those special pies that you always lean back on as a reference for ""great pizza"". Antico did that.



The verdura pizza is what called our names. It came out fairly fast, with all kinds of great add ons. I can't talk about the food until I talk about the atmosphere though.



You walk in and order at a counter. It's hot and loud and somehow extremely endearing. There are about 8-10 pizza options, all Neapolitan style. This place is very cafeteria style and is BYOB, so grab your wine. Glasses are on the table.



Alright back to food. The pizza comes out on a big baking sheet, fresh out of the over. The Verdura comes with broccoli rabe for a nice green, shrooms for a nice meaty flavor, cherry tomatoes for that umami pop we all love, and buffalo moz to hold it all together.



My gosh y'all this was the best pizza I've ever had. It was so familiar yet so complex tasting, unlike any pizza I've ever had. For the price, it's unbeatable. Please come and eat til you can't eat any longer.",5/19/2010 3:13,0,1,2,3,3,1,10/14/2011,5,1,25,2,NA,181
