messageid,userid,message,updated_time,nchar
1231767,9c961ad3eb844ec939a33ec6cabd541b,"ugghhh cant wait to see him tomorrow i miss you so much <3 CHAMPIONSHIP GAME LETS SHOW THEM WHAT WE GOT LADIES AND KICK SOME ASS <3, bed breakfast with the team, then on our way to kick som ass, then with him after the game <3",11/1/2009 2:27,226
5174464,258d43e154c808678aeb2e27ead9f185,"I woke up this morning, grabbed breakfast, tried to start my car and found out something's up with my electrical system. Luckily the car still starts, but the worry of whether or not it will start next time is starting to weigh on me. 25 miles is a long way to walk...",8/19/2010 20:34,268
14323573,1edf778022a665386bfaeceeba201aee,chillin bed breakfast class 920-1115 then nothing hit up the cell,9/9/2009 3:28,65
4221,84fab50f3c60d1fdc83aa91b5e584a78,"SKYDIVE tommorrow..... YAY!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! x a gazillion!!!!! i'm so excited, just have to convince michelle.... and free internet at this hostel is awesome!!!!",8/26/2009 10:29,198
49737,4e264e8a141582a3f3d385abcfacb832,Finally into the hel'L'.. A good thing happened finally! Got the better hostel but pity a lizard got killed while entering into the room! :(,6/21/2009 18:14,140
63473,55d517ab9e7370a00a4b45250b10b5a5,"is so bloody hot, and alcohol fuelled evenings sitting in the beer garden of the local hostelry with good friends seems a good idea at the time. but then you have to come home and sweat (sorry perspire) all night. oh well, such is life !",7/2/2009 21:51,237
66028,bab61da8e89bc0967e72ceb7636b119f,"Is at his hostel in Tokyo, waiting for the trip back in time and space to Ketchikan to start.",6/25/2009 0:02,93
84025,ea3d6b771a87038cbc9e7da666f82b7a,been checked by Infrared Digital Thermometer Gun at hostel gate ~ to detect  the flu especially H1N1 ~ gosh! scary ~  :|,7/9/2009 4:11,120
177363,28c44bde9e87ab62f9884784eb307a6b,hostel's always fun..,7/17/2009 12:22,21
187974,e300ebf453afa6b24f3979f86e17f499,is going to shOp and back to hostel later~,7/20/2009 6:48,42
189129,43d24890821466ce8dcde78354e0d7d5,"Think we are going into hostel next week meh.. will be AFK for weeks, no tinternets!!",7/14/2009 19:55,85
190572,42aa49f49a5647a18cef65481c77dde7,"Going into hostel as from tuesday, will not be able to get online for however long it takes to be moved into association house. It could be a few months apparently I will be contactable on my mobile, please ask me for it before tuesday if you need it and ",7/17/2009 8:50,255
218061,7ca49562c9989c487b35a6002dc25672,i always craved for hostel life n nw wen it is abt to start....i hv already strted missing my bro. the most!!! <3<3,7/27/2009 17:14,115
247991,986a1a00873a93183bef4dcbc78d3a7a,"is sitting downstairs in a hostel while jamie is watching circuit porn, massive party at corys 6th august",8/1/2009 17:17,105
253127,32ff4aac396607299bae84b9bd194620,starting hostel research....,8/1/2009 16:47,28
258945,f5e25c8855a0edd9b42d74d71cc9fe3d,"Swish: Oh, I'll come, I love hospitals.  Coop: No you don't, you like Taco Bell!  Swish: No, one time I was at this hospital, in france, and I met this great chick.  Coop: Dude, that was a hostel.",6/15/2009 13:22,196
274318,d55cf8f4c4f0d01a213426d0fc514793,"Hi all, I've been having problems with network coverage in the hostel, but I might have found a network which covers it (fingers crossed I will be back online by tomorrow) Hope you're not missing me too much!",7/28/2009 15:52,208
275479,37ca7900028821863781f24111dc38fe,"got kicked out of her hostel at 9pm last night, because i didn't like the behavior of the day trip guide and found own way back to hostel from 30km away. go figure. ps don't say anything to mum, this might be beast explained by me....when im in another co",8/1/2009 8:46,255
282686,9c961ad3eb844ec939a33ec6cabd541b,"Hobart, Tasmania. The hostel feels amazing compared to a week in the bush.  Australia is fucking amazing . . . wallabees, wombats and cute little possums.",7/16/2009 22:10,154
290698,258d43e154c808678aeb2e27ead9f185,hey powerpoint rosak!!!stupid hostel!,7/31/2009 13:35,37
300422,1edf778022a665386bfaeceeba201aee,missing hostel,8/7/2009 7:17,14
350564,84fab50f3c60d1fdc83aa91b5e584a78,"picked a ""christian"" hostel in the middle of the redlite district, in between a thai massage place and rows of ""lady-boy"" windows, the irony!  also chose a good time to come to amsterdam, in time for a football match between holland vs. england.  i nearly got squished in the metro by huge, drunken englishmen... ayay!",8/12/2009 23:04,318
364258,4e264e8a141582a3f3d385abcfacb832,"deci ma duc la sziget festival, caut cazare. hostel. eftin. traim boema ungureasca.",8/4/2009 18:13,83
