userid,q1,q2,q3,q4,q5,SWL_taken,SWL,PrimaryFirst
9c961ad3eb844ec939a33ec6cabd541b,4,5,2,4,1,10/29/2008,3.2,1
258d43e154c808678aeb2e27ead9f185,3,4,3,4,2,10/9/2008,3.2,1
1edf778022a665386bfaeceeba201aee,5,6,5,5,2,\N,4.6,1
84fab50f3c60d1fdc83aa91b5e584a78,2,2,2,5,3,12/14/2008,2.8,1
4e264e8a141582a3f3d385abcfacb832,4,3,2,2,4,10/30/2009,3,1
55d517ab9e7370a00a4b45250b10b5a5,5,5,6,2,7,8/20/2009,5,1
bab61da8e89bc0967e72ceb7636b119f,6,7,7,7,3,12/14/2009,6,1
ea3d6b771a87038cbc9e7da666f82b7a,5,2,5,6,3,6/27/2010,4.2,1
28c44bde9e87ab62f9884784eb307a6b,6,5,6,5,5,\N,5.4,1
e300ebf453afa6b24f3979f86e17f499,7,7,7,6,7,11/1/2008,6.8,1
43d24890821466ce8dcde78354e0d7d5,3,4,5,5,3,8/2/2009,4,1
42aa49f49a5647a18cef65481c77dde7,6,5,5,7,4,7/19/2009,5.4,1
7ca49562c9989c487b35a6002dc25672,6,6,6,5,6,7/17/2009,5.8,1
986a1a00873a93183bef4dcbc78d3a7a,7,6,7,5,3,10/12/2010,5.6,1
32ff4aac396607299bae84b9bd194620,6,6,7,6,7,11/6/2008,6.4,1
f5e25c8855a0edd9b42d74d71cc9fe3d,4,3,5,6,6,\N,4.8,1
d55cf8f4c4f0d01a213426d0fc514793,2,6,3,6,3,11/25/2008,4,1
