userid,gender,birthday,age
9c961ad3eb844ec939a33ec6cabd541b,1,,
258d43e154c808678aeb2e27ead9f185,0,,
1edf778022a665386bfaeceeba201aee,1,,
84fab50f3c60d1fdc83aa91b5e584a78,1,,
4e264e8a141582a3f3d385abcfacb832,1,,
55d517ab9e7370a00a4b45250b10b5a5,1,,
bab61da8e89bc0967e72ceb7636b119f,1,8/9/1982,30
ea3d6b771a87038cbc9e7da666f82b7a,1,7/26/1983,29
28c44bde9e87ab62f9884784eb307a6b,1,,
e300ebf453afa6b24f3979f86e17f499,1,,
43d24890821466ce8dcde78354e0d7d5,0,,
42aa49f49a5647a18cef65481c77dde7,,,
7ca49562c9989c487b35a6002dc25672,0,1/21/1985,27
986a1a00873a93183bef4dcbc78d3a7a,1,,
32ff4aac396607299bae84b9bd194620,1,,
f5e25c8855a0edd9b42d74d71cc9fe3d,1,,
d55cf8f4c4f0d01a213426d0fc514793,0,,
37ca7900028821863781f24111dc38fe,1,,
